clean_description,NAICS Code,label
westlake lives the aceaceace hardware corporation is an american hardware retailers cooperative based in oak brook illinois united states it is the largest non grocery retail cooperative in the united states u s founded in 1924 as ace stores the company changed its name to ace hardware corporation in 1931 wiki ace hardwareace hardware wikipedia helpful promise every day by delivering reliable service helpful advice and products so its customers and neighbors get their projects done right every time westlake ace is headquartered in the kansas city area and has been part of the ace hardware cooperative since 1959,444130,596
the north county transit district typically abbreviated as nctd is the agency responsible for public transportation in northern san diego county california,446199,623
the inter american development bank idb or iadb is an international development finance institution headquartered in washington d c united states of america and serving as the largest source of development financing for latin america and the caribbean,522293,798
express scripts is an online pharmacy and a pharmacy benefit manager we make prescription medications safer and more affordable for our members we handle millions of prescriptions each year through home delivery from express scripts pharmacy,454110,658
continental distributing company inc was founded in 1933 the company s line of business includes the wholesale distribution of distilled spirits including neutral spirits and ethyl alcohol used in blended wines and distilled liquors,445220,609
giggle inc operates a chain of baby products stores for new and expecting parents the company markets its products to customers throughout the united states,448130,628
mercury luggage established itself as a premier supplier of high quality luggage bags trunks and cases that are used by major corporations pro and college sports teams top retailers and all branches of the u s military,316998,207
about us for more than 80 years essick air products has built a reputation of uncompromising commitment to superior products our products range from convenient tabletop humidifiers whole house evaporative humidifiers to coolers for residential and commercial applications,451130,642
frank russell company doing business as russell investment group provides investment advisory services the company offers investment services which includes investment management portfolio management and consulting services russell investment group serves customers worldwide,523930,814
simkar is an electronic manufacturing company that manufactures led fluorescent and vandal resistant lighting,335122,430
lighting science group corporation innovates designs manufactures and markets led lighting solutions for professional and consumer applications that are environmentally friendlier and less costly to operate than traditional lighting products,335122,430
inn partners has consulted in the sale of over 300 bed and breakfasts and inns in the united states and two in europe over 150 of these properties have been select registry properties our ultimate goal is to facilitate successful transfers for both buyers and sellers,519130,786
aj richard sons inc was founded in 1977 the company s line of business includes the retail sale of electric and gas refrigerators stoves and other household appliances,443141,592
kelly spicers is one of the industry s leading paper packaging wide format and facilities solutions distributors serving the print graphics packaging and facilities solutions communities across the western u s with 4 divisions 8 regional locations and more than 28 stores kelly spicers delivers the products our,441228,583
the company sells its cable video programming high speed internet telephone and advanced broadband services primarily on a subscription basis the company also sells local advertising on cable networks,515210,769
orbit medical is one the largest durable medical equipment dme providers in the midwest we are a medicare competitive bid contracted supplier with a full line of dme we specialize in power mobility complex rehab home respiratory orthotic devices general dme and pain management supplies,446199,623
genlyte thomas group llc manufactures lighting fixtures and controls for commercial industrial and residential markets throughout united states,335122,430
about zodiac pool systems zodiac pool systems is a company that focuses on the maintenance and water quality for swimming pools and spas operating in the pool and spa industry,333318,375
sw technology corporation was founded in 2005 the company s line of business includes the manufacturing of instruments and apparatus that measure an optical property,333314,373
pacific sunwear of california llc commonly known as pacsun is an american retail clothing brand the company sells lifestyle apparel along with swim footwear and accessories designed for teens and young adults as of 2022 the company operates 325 stores in all 50 states and puerto rico,448110,626
fred s stores of tennessee inc provides food services and operates retail stores the company offers products such as food health beauty household cleaners party supplies toys and pet food,452319,648
headquartered in perris california california trusframe ctf is a market leading designer and manufacturer of prefabricated roof and floor trusses wall panels and other structural components for single family multi family and commercial buildings in the sought after western united states region,321214,213
wireless electronics inc manufactures communication equipments the company installs and repairs communication equipments wireless electronics manages maintains and upgrades communication systems,811213,1050
agoraagoraheadquartered in santa clara california agora is a pioneer and global leader in real time engagement platform as a service paas providing developers with simple flexible and powerful application programming interfaces or apis to embed real time voice video interactive live streaming chat whiteboard and corporate corporate profilecorporate profile agora inc investor relations is a pioneer and global leader in real time engagement platform as a service paas providing developers with simple flexible and powerful application programming interfaces or apis to embed real time voice video interactive live streaming chat whiteboard and artificial intelligence capabilities into,316998,207
the company has interests in two paper mills and the international herald tribune the core purpose of the new york times company is to enhance society by creating collecting and distributing high quality news information and entertainment good corporate citizenship,519110,784
waste management inc overview through its personal counseling the company assists customers in achieving their green goals including zero waste it also offers waste management vertical from collection solid and hazardous waste landfill management transfer recycling and resource recovery to disposal,445220,609
at everris we pride ourselves in being a complete solution provider that specializes in ornamental horticulture turf and amenity and specialty agriculture even though our company name has changed we are the same dedicated people who truly are driven by innovation and inspired by nature,212393,85
mativ holdings inc mativ formerly schweitzer mauduit international inc is a manufacturer of paper products the company s manufactures engineered polymer resin and fiber based susbtrates nets films adhesive taps and other nonwoven,322121,225
innovative ag services co is a full service farm cooperative offering a complete line of supplies and services to meet all of your farm needs we provide value added products and services to more than 5 000 members in the grain agronomy feed and energy markets,453998,657
american furniture warehouse is a family owned business and one of the top retail furniture companies in the united states customers enjoy the largest selection of quality stylish home furnishings and accessories at the lowest prices anywhere anytime,442110,588
founded in 1957 auto systems experts ase is one of the oldest midasmidasmidas international llc is an american chain of automotive service centers headquartered in palm beach gardens florida in its north american main and home market midas stores are company owned or franchised in the 17 other countries it operates in the service centers are either licensed or franchised wiki midas automotive service midas automotive service wikipedia franchisees in the country the company operates 42 midas shops across 6 states throughout the midwest that offer a full complement of automotive services including comprehensive diagnostics and repair of all major automotive systems,811112,1038
enersys is the industrial technology leader serving the global community with mission critical stored energy solutions that meet the growing need for energy efficiency reliability and sustainability,335911,442
headquartered in york pa perform group designs markets and manufactures apparel worn by over a million athletes and performers around the globe each year and its garments have been seen worldwide in high profile events for decades,315280,201
buth na bodhaige inc doing business as the body shop inc manufactures and retails cosmetics products the company offers bath body care skin care make up hair care and fragrance products the body shop operates globally,446120,620
steve park apiaries inc steve and sharon operate over 10 000 hives in five states ending up with most of them in montana for the summer steve park apiaries continually monitors mites both varroa and tracheal throughout the year,453110,649
express inc operates specialty retail apparel stores the company offers apparel and accessories such as jeans sweaters dresses suits and coats,448120,627
h m hennes mauritz inc retails apparels and accessories the company offers products such as tops blouses trousers jeans shorts skirts blazers jackets sportwear nightwear underwear shoes socks coats and suits h m hennes mauritz markets its products worldwide,448140,629
founded in 2012 loot crate inc is the worldwide leader in fan subscription boxes loot crate partners with industry leaders in entertainment gaming sports and pop culture to deliver monthly themed crates produce interactive experiences and digital content and film original video productions,451120,641
the warnaco group inc manufactures intimate apparel menswear jeanswear swimwear and accessories the company also owns and operates speedo authentic fitness stores in the united states and canada warnaco s products are sold under brand names such as warner s olga calvin klein and speedo,315240,199
bluestem group inc is a holding company which engages in bluestem a multi brand online retailer of a broad selection of name brand and private label general merchandise serving low to middle income consumers,523920,813
we are a leading global provider of photo products and services for retailers consumers and entertainment properties we inspire customers to keep their meaningful moments close with high quality products and creative solutions delivered through an innovative omni channel fulfillment experience,333316,374
eager to serve the community and build the foundations of a company rooted in old fashioned family values don roberto jewelers opened its first store in downtown stockton california on september 1 1972 since then don roberto jewelers has grown its retail to over 80 locations and continues to expand its horizons,448310,633
lemco mills inc was founded in 1965 as a known cost supplier and manufacturer of sheer ladies hosiery for montgomery ward known cost was a term used to identify a process where a company agreed ahead of time to purchase goods at a fixed cost,315110,194
about us reliable transmission service is one of the most respected allison remanufactures in the country since 1981 we are dedicated to the service and repair of allison automatic transmissions and are proud to be the most requested allison transmission remanufacturer and service outlet,811113,1039
lsf5 bi lo holdings llc was founded in 2005 the company s line of business includes the retail sale of a range of canned foods and dry goods,445120,605
telecom llc doing business as priority communications provides telecommunications solutions the company offers extensive customized voice and data business communication solutions and services to small medium and large businesses,517911,781
amtote international inc provides totalisator services the company offers betting systems and solutions for racetracks and other gambling entities amtote international operates in the united states and australia,212221,67
the bank provides personal and commercial banking home loans investment services deposits debit and credit cards makes loans and other related services ally capital serves customers in the united states,522298,800
freeport mcmoran inc often called freeport is an american mining company based in the freeport mcmoran center in phoenix arizona the company is the world s largest producer of molybdenum a major copper producer and operates the world s largest gold mine the grasberg mine in papua indonesia,212221,67
puma north america inc provides apparel goods the company offers wholesale distribution of men and boys apparel and furnishings puma north america serves customers worldwide,424320,549
mb financial inc provides banking services the company offers savings mortgage cards loans and online banking services mb financial serves clients in the united states,522120,792
about first priority group fpg s conversion division is one of the largest upfitters of emergency command and specialty vehicles providing custom solutions to law enforcement emergency and commercial customers throughout the us,336112,452
about us classpass is revolutionizing the fitness and wellness industry by bringing together the world s best classes and experiences into one app our mission to motivate people to live inspired lives every day by introducing and seamlessly connecting them to soul nurturing experiences,519130,786
we deploy the best available equipment to provide prototyping and production solutions for our customers we are a proven supplier who is trusted to develop and manufacture the most complex components used in the most advanced commercial and military applications in the world,442210,589
description provider of transmission repair services intended to serve automotive industry the company operates 680 location and provides towing reseal clutch manual transmission and other transmission repair service through its franchisees in the united states,811113,1039
cottman transmission and total auto care specializes in every phase of automotive repair and maintenance including a specialization in servicing both automatic and manual transmissions,811113,1039
ohio valley goodwillgoodwillgoodwill industries international inc simply known as goodwill is an american nonprofit 501 c 3 organization that provides job training employment placement services and other community based programs for people who face barriers in their employment wiki goodwill industriesgoodwill industries wikipedia industries is an employment and training center serving more than 3000 individuals annually with disabilities and other barriers to employment including our nation s veterans,453310,652
baker corp international holdings inc provides liquid and solid containment solutions the company offers tanks pumps trench shoring and filtration systems bakercorp serves construction refineries and environmental remediation projects internationally,315190,196
general summary of who we are and what we do hurley associates is an agri marketing company with christian and family values our business is unique in that we have the opportunity to make a positive difference in a farmers level of success we help agricultural producers secure revenue,523140,808
unibridge has been the leading provider of scale solutions since 1988 with a reputation for high quality and dependable products we offer a broad variety of scale solutions which include custom and stock load cells floor scales and platform scales,333997,400
keeton international llc was founded in 2001 the company s line of business includes the wholesale distribution of poultry and poultry products,445210,608
we make professional grade gear to help people stay and feel alive from our home in norway helly hansen has been making professional grade gear to help people stay and feel alive for more than 140 years discover more about our brand professional partnerships sustainability and more,424330,550
betsy adam ltd provides dresses and clothing products the company offers women s and misses blouses and shirts and other dresses products betsy adam serves customers in the united states,315190,196
all season has more than a decade of experience keeping townhouse associations and commercial and residential properties well maintained and manicured throughout the seasons with a full range of licensed and certified services,454210,659
deutsche bank trust company americas operates as a bank the bank accepts deposits makes loans private and commercial banking services fixed income equities and other financial services deutsche bank trust serves customers worldwide,522293,798
abry partners llc operates as a private equity firm the company invests in media communications business and information sectors abry partners serves customers in the united states,517919,782
kgb stylized in lower case is a privately held new york based company that provides directory assistancedirectory assistance118 118 is primarily seen as a directory enquiries service but provides a wider range of options not only providing numbers to users but also train times cinema listings and directions wiki118 118 uk wikipedia and enhanced information services across europe and north america,511140,745
grdg holdings llc operates as a holding company the company through its subsidiaries provides investment services,451120,641
westlake corp westlake formerly westlake chemical corp is a manufacturer and supplier of petrochemicals polymers and building products the company offers olefins vinyl chemicals styrene polyethylene vinyl pvc and vcm compounds and olefin,454210,659
lamps plus inc is a privately held corporation that designs manufactures and sells portable lighting fixture lighting furniture home d cor items and a variety of other related products,454310,660
established in 1974 learning tree international is a leading provider of it and management training to business and government organizations worldwide,446199,623
panasonic energy corporation of america is the premier manufacturer of powerful energy efficient long lasting batteries located in the second largest city in georgia the historical city of columbus panasonic energy corporation of america is the u s headquarters for panasonic batteries,335911,442
imerys clays inc was founded in 1979 the company s line of business includes the mining milling and preparing of kaolin or ball clay imerys clays operates worldwide,212324,80
our partnership american industrial partners is an operationally oriented middle market private equity firm that is distinctively focused on buying and improving industrial businesses with operations in the u s canada and other developed markets,333318,375
verso corporation operates in the paper industry the company produces coated freesheet coated ground wood and uncoated super calendered papers and pulp verso offers its products to magazine and catalog publishers commercial printers specialty retail merchandisers and paper merchants,322121,225
optima batteries inc produces batteries the company offers wet and dry batteries for the automotive marine and commercial vehicle markets optima batteries operates worldwide,335912,443
today jordache enterprises is a privately held conglomerate with an international reach the company designs and manufactures a wide variety of denim apparel and accessories and has earned a distinguished reputation for quality and excellence,315240,199
description manufacturer and supplier of prefabricated wood framing components intended to deliver living spaces that are quiet long lasting safe and comfortable,321214,213
verdesian life sciences llc provides agricultural products and services the company offers fertilizers granular seed treatment soil surfactant and biological control products as well as custom blend and granulation services verdesian life sciences serves customers in the united states,212393,85
amega mobile home sales is a retailer of factory built homes and has been in business for over 30 years,453930,655
arbon equipment corporation provides industrial services the company offers vehicle restraints industrial doors machine guarding dock seal and shelters curtains fans and fabric hvac ductwork arbon equipment serves customers worldwide,444190,599
les schwab tire centers is a tire retail chain operating in the western united states founded in 1952 the company is named for founder les schwab and is headquartered in the central oregon city of bend,441320,585
the pep boys manny moe jack of california the pep boys a subsidiary of icahn enterprises lp is a retailer of automotive aftermarket service and automobile spare parts and accessories,441310,584
founded in 1972 wepfer marine inc operates harbor and fleeting services along the lower mississippi river a full service shipyard with drydocks and barge cleaning services in memphis tn and okie moore diving and marine salvage based out of st louis,315280,201
description manufacturer of energy efficient lighting materials and finished products the company offers metal halide salts electrodes amalgams and getters it also offers optical thin film coatings for lighting applications telecommunications products and emissivity modification films,335110,428
cumulus intermediate holdings llc provides radio broadcasting services the company owns and operates radio stations,515111,766
amglo kemlite laboratories is a global manufacturer of specialty lamps and was established in 1935 it services o e m equipment manufacturers and distributors in the fields of aerospace lighting airfield lighting medical lighting vehicular lighting obstruction lighting railroad lighting and laser lamp industries,448210,632
roadlink operates in all 48 states with a heavy focus in the midwest northwest south and southeast we transport specialized van freight that weighs less than 15 000lbs on average with multiple stops,445220,609
min communicationsis a global maker of computer games striving to bring the markets the best of creative and fun games for all,811213,1050
ccs medical inc provides direct to home delivery of medical supplies the company offers diabetes testing insulin pumps prescription medications ostomy urological wound care and incontinence supplies ccs medical serves customers in the united states,453998,657
nols mission is to be the leading source and teacher of wilderness skills and leadership that serve people and the environment our community staff students trustees and alumni shares a commitment to wilderness educationeducationeducation is the transmission of knowledge skills and character traits and manifests in various forms formal education occurs within a structured institutional framework such as public schools following a curriculum wiki educationeducation wikipedia leadership safety community and excellence,515112,767
the armored group llc manufactures vehicles that meet or exceed all federal motor vehicle safety standards fmvss all parts used and services provided on our secure vehicles are second to none and our armored cararmored carbrink s is popularly known for its bullet resistant armored trucks which carry money and valuable goods the service once used to transport the hope diamond from an auction to the buyer s home brink s is a provider of security services to banks retailers governments mints and jewelers wiki brink sbrink s wikipedia company is committed to using the latest cutting edge technology in every instance,811112,1038
the construction projects team undertake a variety of small and larger scale projects across multiple disciplines whether it be a new build or the retrofitting of existing facilities the team is highly skilled and experienced at delivering superior quality work,811112,1038
telcare inc develops medical monitoring and communication devices for mobile devices the company offers a cellular enabled blood glucose meter that transmits values to a care management server and provides feedback to patients telcare serves diabetes patients and care givers worldwide,811213,1050
at pentairpentairpentair has a number of strong product brands like everpure berkeley myers jung pumpen and others that used to have their own specific logos now any reference to these product brands should include pentair en us brandguide our brandbrand elements pentair we help the world sustainably move improve and enjoy water life s most essential resource from our residential and commercial water solutions to industrial water management and everything in between pentair is focused on smart sustainable water solutions that help our planet and people thrive,333318,375
we have one of the the largest transmission rebuild and maintenance shops in western pennsylvania what this means to your business is we have the size to manage and repair your fleet we have the ability to stock an inventory of various transmissions and other components for your vehicles,811113,1039
ann inc retails clothing and accessories the company offers jeans jackets tops sweaters suits dresses shoes shoes and accessories ann serves customers worldwide,448120,627
fantasy interactive inc manufactures mobility products the company designs digital products telephone voice and data communications fantasy interactive serves customers in the united states,519130,786
carlyle is a global alternative asset management private equity and financial services firm the group advises specialized investment funds and other investment vehicles that invest across various industries geographies asset classes and investment strategies,448150,630
marlin equity partners llc operates as an investment firm the company invests in software and technology services healthcare consumer and industrial sectors marlin equity partners serves customers worldwide,523930,814
barclays capital inc operates as a brokerage firm and investment advisor the company buys and sells securities such as stocks bonds mutual funds and other investment products as well as manages investment portfolios and financial planning services barclays capital serves clients worldwide,523110,805
itron networked solutions inc provides smart grid network and technology solutions the company offers smart grid solutions to advanced analytics and robust services as well as consulting delivery and customer support services itron networked solutions serves gas water and electricity industries worldwide,517919,782
with over 65 fbos across 30 states atlantic provides a wide range of aircraft ground handling and corporate flight support services including fueling and line services ground transportation catering hangar deicing and ramp space,441228,583
overview telit cinterion is an iot enabler providing iot modules edge to cloud services including connectivity plans iot sims iot embedded software and paas iot deployment managed services,334613,426
fanatics inc overview the company offers products such as jerseys lifestyle and streetwear products headwear and hard goods physical and digital trading cards sports memorabilia and other digital assets for entertainment and sports properties,448190,631
mgf sourcing is an independent us led global sourcing company founded in 1970 we focus on us based specialty apparel retailers and with our strong track record in apparel sourcing and best in class technical capabilities have developed a long standing reputation as a reliable and trustworthy partner,424330,550
company overview we are the dominant auto parts retailer in all of our market areas from our roots as a single store in 1957 to our current size of 6 131 stores in 48 u s states and puerto rico 63 stores in mexico and 23 stores in canada and growing we ve come a long way,441310,584
shi international corp provides information technology products and services the company offers program assistance reporting and tracking configuration software licensing and information technology asset management services,443142,593
ciner enterprises inc produces mineral products the company manufactures and supplies refines soda ash as well as offers storage packaging and logistic services ciner enterprises serves customers worldwide,212391,83
varsity spirit fashion the innovative global leader in cheerleading and dance fashion vsf is your destination for customized uniforms shoes and apparel built for the new generation of spirit leaders,315280,201
unitedlex corporation provides consulting services the company offers services such as litigation support project management law firm solutions intellectual property data hosting and legal staffing unitedlex serves customers worldwide,333314,373
valvoline inc valvoline is a manufacturer and distributor of finished lubricants and automotive chemicals the company offers passenger car motor oils and other automotive services valvoline offers various preventative maintenance services across its service centers in the united states and canada,322121,225
longs drug stores california l l c distributes pharmaceutical products the company offers refill prescriptions drugs information sports supplements nutritional foods and oral and hair care products,446110,619
founded in 2001 homestar is a global leader in do it yourself furniture storage solutions and electric fireplaces homestar is uniquely positioned to service retailer trade partners in markets across the globe,337125,482
petmate holdings co operates as a holding company the company through its subsidiaries provides pet products including collars leashes kennels carriers toys houses and accessories petmate holdings serves customers in the state of texas,453910,653
ats corp ats is an automation solutions provider the company designs manufactures assembles and services custom engineered turn key automated manufacturing and test systems,333999,402
pershing resources company inc is a mineral exploration company focused on the discovery of copper cu gold au and silver ag mineral deposits in arizona and nevada,212299,72
community mediacommunity mediacommunity media can take all the forms of other conventional media such as print radio television web based and mixed media community radio is particularly widespread around the world with radio stations being founded to inform their listeners on issues important to the community wiki community mediacommunity media wikipedia group is a privately held multimedia company that owns and operates daily and weekly newspapers shoppers and other print distribution products in six states in addition to newspapers cmg also owns and operates a radio station and a full service digital agency community media digital,519110,784
our mission is to empower people to unleash their potential while helping them look feel and live young the jeunesse family comprises jeunesse distributors and employees across six continents in more than 140 countries,446120,620
company description hill s pet nutrition is a world leader in specialty pet nutrition products for dogs and cats with products marketed in over 80 countries and territories worldwide,453910,653
located in new mexico polynatura controls the only naturally occurring deposit of polyhalite in the americas the deposit is ideally situated for polyhalite to be distributed efficiently and competitively within the western hemisphere and globally,212391,83
here at carpet weavers we work with the best brands to bring you the biggest selections and best prices on hardwood luxury vinyl tile carpet and more we partner with these specific brands to ensure that our customers needs are met as well as having the best customer satisfaction we can,442210,589
gold resource corporation is a gold and silver producer developer and explorer with its operations centered on the don david gold mine in oaxaca mexico,212221,67
description belo is a public company headquartered in texas with an estimated 656 employees in the us the company has a notable market share in at least one industry newspaper publishing where they account for an estimated 0 2 of total industry revenue,515120,768
the company s products and services include custody accounting administration daily pricing international exchange services cash management financial asset management securities lending and investment advisory services,522293,798
claire s is a global brand powerhouse for self expression creating exclusive curated and fun fashionable jewelry and accessories and offering world leading piercing services the company operates under two brand names claire s and icing,448150,630
barrette outdoor living inc manufactures vinyl wood and aluminum exterior home products the company distributes fencing railings garden accents and sheds barrette outdoor living is based in middleburg heights ohio,444190,599
federal mogul holdings llc supplies products services and solutions to automotive light commercial heavy duty truck off highway agricultural marine rail and industrial markets the company provides powertrain vehicle safety engine sealing steering braking other energy solutions,333249,371
company description barclays bank delaware doing business as barclays us is a leading co branded credit card issuer and financial services partner in the us that creates highly customized programs to drive customer loyalty and engagement for some of the country s most successful travel entertainment retail and,522120,792
houchens industries is an american employee owned company in business since 1917 when it began as a small grocery operated by founder ervin houchens in rural barren county kentucky houchens industries currently operates more than 325 retail grocery convenience and neighborhood market stores across 14 states,523130,807
patton music provides musical performance arranging and consulting services for events performers and studios as well as private instruction in piano flute and guitar,453991,656
recommind an enterprise search and categorization platform organizes manages and distributes information from multiple sources,334613,426
royal energy resources inc is a publicly held north american energy recovery company trading under the call symbol roye we are focused on the acquisition of coal gas and renewable energy assets that are profitable at current distressed prices,212222,68
iseman homes is one of the nation s leaders in manufactured home sales with offices in seven states founded in 1920 iseman was an industry pioneer in bringing the benefits of manufactured homes to market,453930,655
martin bayley inc owns and operates a chain of supermarkets the company offers canned foods dry goods vegetables ice creams pizza deli sweets and beverages martin bayley serves customers in the united states,445120,605
mb financial inc provides banking services the company offers savings mortgage cards loans and online banking services mb financial serves clients in the united states,522120,792
the undundthe university of north dakota also known as und or north dakota is a public research university in grand forks north dakota it was established by the dakota territorial assembly in 1883 six years before the establishment of the state of north dakota wiki university of north dakotauniversity of north dakota wikipedia aerospace foundation undaf is a non profit corporation that develops alternative revenue sources to support core activities of the john d odegard school of aerospace sciences,517311,777
shelly materials inc doing business as the shelly company manufactures and markets building materials the company offers aggregates asphalts ready mix concrete sand and colored concrete the shelly company serves customers throughout the united states,515111,766
vestas blades america inc manufactures high tech wind power systems the company specializes in wind turbine blade production covering all aspects of blade production from construction of the exterior assembly of the internal blade parts to finishing and painting the blade,523140,808
air techniques is a leading manufacturer of robust mechanical systems intuitive digital imaging systems and highly effective hygiene products for all application areas our customers include dental experts from private practices to clinics and universities at every scale,333316,374
airport home appliance is a family owned appliance superstore providing you with guaranteed low prices and outstanding customer service we have the largest selection of appliance brands in northern california with over 80 brands and hundreds of appliances on display,443141,592
party city holdings inc operates as a holding company the company through its subsidiaries designs manufactures distributes and retails decorated party goods such as costumes color table ware candy balloons invitations and games party city holdings serves clients in the state new york,453220,651
atlantic street capital management llc is a private equity firm specializing in lower middle market companies in buyouts recapitalizations corporate carve outs restructurings and bankruptcies atlantic street capital management llc was founded in 2006 and is headquartered in stamford connecticut,523130,807
meltwater us holdings inc provides advertising and marketing services the company offers media monitoring and database social influence management reports and newsletters meltwater us holdings serves customers worldwide,448150,630
the dynix corporation was founded in 1983 their major product was the dynix automated library systemautomated library systeman integrated library system ils also known as a library management system lms is an enterprise resource planning system for a library used to track items owned orders made bills paid and patrons who have borrowed wiki integrated library systemintegrated library system wikipedia in january 1992 dynix systems was acquired by ameritech dynix and notis systems maker of notis which ameritech purchased in october 1991 were consolidated into ameritech library services als in 1994,519120,785
dean deluca is the world s leading purveyor of fine food first established by joel dean giorgio deluca and jack ceglic in soho new york in 1977 the brand has grown globally from this legendary new york gourmet market with stores now across the americas asia japan and emea,445299,616
about crowne group crowne group manufactures automotive parts it provides hot and cold end pipes internal muffler tubes instrumental panel tubes wiper mechanism rods automotive suspension or structural tubes seat frames hvac components anti vibration bushings and other products,333249,371
about calloways nursery inc company calloway s nursery inc engages in operating of garden centers its products include mosquito control soils and mulches pottery fertilizers weed control birding rain bird drip irrigation viz glass lawn decor chimeneas and corinthian bells wind chimes,444220,601
it s greek to me inc doing business as champion teamwear designs and markets sports apparel the company provides custom embellished uniforms warm ups and practice apparel for colleges schools and club sports teams,424320,549
the cromwell group serves clients in the property management business we specialize in identifying and placing operations construction and support people throughout our clients organization,515112,767
paypal inc provides financial transaction processing services the company offers electronic payment processing services such as mobile payments and online invoicing paypal serves customers worldwide,517311,777
peabodypeabodypeabody energy is a coal mining company headquartered in st louis missouri its primary business consists of the mining sale and distribution of coal which is purchased for use in electricity generation and steelmaking wiki peabody energypeabody energy wikipedia is a leading coal producer providing essential products for the production of affordable reliable energy and steel our commitment to sustainability underpins everything we do and shapes our strategy for the future,212111,60
bodek and rhodes inc operates as an online shopping portal the company offers men and women s polos wovens t shirts fleece headwear bags and accessories bodek and rhodes serves customers in the united states,424320,549
overview american borateborateborato countable and uncountable plural boratos or boratoes historical a thin fabric wiki boratoborato wiktionary the free dictionary co is a supplier of borates that is headquartered in virginia beach virginia and was established in 1990 the company offers boron products ranging from boron minears and refined borates,212391,83
new york life investment management llc provides investment management firm the company offers institutional asset management financial planning and investment advisory services new york life investment management serves customers in the united states,523920,813
ecoatmecoatmecoatm is a simple and safe way to sell your used phones for instant cash we offer a non human contact process with an advanced kiosk with over 5 000 locations across the us how to get instant cash ecoatmhow to get instant cash with ecoatm is a renowned leader in reducing electronic waste and finding value in gently used electronics we offer a simpler and safer way to sell devices all while taking the initiative to create a greener planet,453310,652
imerys focuses its attention on providing innovative sustainable solutions for the filtration cosmetics coatings and construction markets as well as cost effective grades for agriculture and industry in general imerys is the world s leading supplier of engineered mineral products derived from expanded perlite,212399,86
les schwab tire centers is a tire retail chain operating in the western united states founded in 1952 the company is named for founder les schwab and is headquartered in the central oregon city of bend the private company employs over 7 000 people in nine western states,441320,585
pandora media llc is an ad supported audio entertainment streaming company the company offers digital audio advertising platform that allow users to search on their favorite artists genres and songs on computers and mobile phones pandora media serves customers in the united states,515111,766
google llc google a subsidiary of alphabet inc is a provider of search and advertising services on the internet the company focuses on various business areas such as advertising search platforms and operating systems and enterprise and hardware products,519190,787
new york headquartered empire office is the largest commercial furniture dealer in the world with over 73 years of experience and more than 450 full time employees across the country empire office is the preeminent steelcase dealer in the united states and supports a list of more than 400 manufacturers,519120,785
operates as a holding company the company through its subsidiaries retails apparel the company offers backpacks tees jewelry lingerie room and decor fashion drinkware gifts and humor suits shoes shirts tops and other related products,448190,631
connectiva systems is a revenue chain management software company providing solutions for telecom operators to improve business performance,334613,426
adidas north america inc produces sporting goods the company offers clothing footwear and accessories for men women and kids adidas north america serves customers worldwide,315220,198
subaru of indiana automotive inc sia part of the subaru family of companies is home of north american production for the ascentascentall ascent models feature all wheel drive as standard equipment with both rows of rear seats folded down the ascent has a total cargo capacity of 86 5 cubic feet 2 450 l and 153 5 cubic feet 4 35 m3 of total passenger volume ground clearance is 8 7 inches 220 mm wiki subaru ascentsubaru ascent wikipedia crosstrek legacy and outback models sia employs more than 6 000 associates who are committed to quality safety and environmental stewardship,336111,451
b b battery usa inc manufactures battery products the company offers batteries for wind power solar telecom and ev hev b b battery usa operates in the worldwide,335912,443
the imf is an organization of 189 member countries that works to foster global monetary cooperation secure financial stability facilitate international trade promote high employment and sustainable economic growth and reduce poverty around the world,522293,798
ccs medical holdings inc operates as a holding company the company through it subsidiaries provides diabetes testing supplies syringes and needles and insulin pumps as well as offers ostomy urological wound care and respiratory supplies ccs medical holdings serves customers in the united states,453998,657
